day_name, month, day, year
Wednesday, January, 1, 2020
Monday, February, 24, 2020
Tuesday, February, 25, 2020
Friday, March, 20, 2020
Monday, March, 23, 2020
Tuesday, March, 24, 2020
Monday, March, 30, 2020
Tuesday, March, 31, 2020
Thursday, April, 2, 2020
Wednesday, April, 8, 2020
Thursday, April, 9, 2020
Thursday, April, 9, 2020
Friday, April, 10, 2020
Friday, April, 10, 2020
Sunday, April, 12, 2020
Tuesday, April, 14, 2020
Wednesday, April, 15, 2020
Thursday, April, 16, 2020
Friday, April, 24, 2020
Friday, May, 1, 2020
Saturday, May, 23, 2020
Monday, May, 25, 2020
Monday, June, 15, 2020
Saturday, June, 20, 2020
Saturday, June, 20, 2020
Thursday, July, 9, 2020
Friday, July, 10, 2020
Friday, July, 31, 2020
Monday, August, 17, 2020
Thursday, August, 20, 2020
Friday, September, 18, 2020
Saturday, September, 19, 2020
Sunday, September, 20, 2020
Tuesday, September, 22, 2020
Sunday, September, 27, 2020
Monday, September, 28, 2020
Monday, October, 12, 2020
Monday, November, 23, 2020
Monday, December, 7, 2020
Tuesday, December, 8, 2020
Monday, December, 21, 2020
Friday, December, 25, 2020
Thursday, December, 31, 2020
